start word,end word,solution,number of words
yox,rms,"yox,rox,ros,rms",4
fiot,amir,"fiot,flot,flit,alit,amit,amir",6
quaky,flyer,"quaky,quake,quate,quite,suite,slite,flite,flits,flies,flier,flyer",11
moed,ayre,"moed,loed,lord,lore,lyre,ayre",6
jared,sonar,"jared,jawed,sawed,sowed,sower,sowar,sonar",7
tbs,son,"tbs,tos,sos,son",4
sal,uta,"sal,saa,sta,uta",4
jati,okay,"jati,hati,hats,oats,orts,oras,okas,okay",8
mussal,zebeck,"mussal,mussel,musses,messes,meshes,reshes,resees,resets,revets,revels,rebels,rebecs,zebecs,zebeck",14
mimly,seron,"mimly,mirly,marly,marls,maros,saros,saron,seron",8
lenis,shoop,"lenis,lends,sends,seeds,sheds,shews,shows,shoos,shoop",9
suf,zap,"suf,sup,sap,zap",4
conli,morse,"conli,canli,carli,marli,marsi,marse,morse",7
recon,vales,"recon,mecon,melon,melos,meles,males,vales",7
bedirt,scoter,"bedirt,begirt,begift,regift,relift,relict,relics,relies,belies,belier,belter,bolter,booter,sooter,scoter",15
aum,hew,"aum,hum,hem,hew",4
umm,dwt,"umm,emm,eam,dam,dat,dwt",6
ley,mob,"ley,loy,moy,mob",4
aals,noah,"aals,bals,bass,boss,bosh,nosh,noah",7
olive,cirri,"olive,clive,clite,caite,carte,carle,carli,carri,cirri",9
shayed,gaonic,"shayed,spayed,spaded,spades,spodes,apodes,anodes,anoles,anolis,aeolis,aeolic,aeonic,geonic,gaonic",14
stocks,coecum,"stocks,stacks,stalks,stales,staves,soaves,solves,salves,calves,calles,callus,caelus,caelum,caecum,coecum",15
mah,sps,"mah,bah,bas,bps,sps",5
opa,avn,"opa,apa,ava,avn",4
togging,crozier,"togging,bogging,bigging,pigging,piggins,piggies,poggies,porgies,porkies,porkier,perkier,peakier,beakier,brakier,brazier,crazier,crozier",17
poule,cibol,"poule,moule,mouse,morse,morae,moral,coral,corol,cobol,cibol",10
banes,reina,"banes,bands,rands,raids,rains,reins,reina",7
zee,zak,"zee,zek,zak",3
stm,ski,"stm,sam,sai,ski",4
beri,sife,"beri,seri,sere,sire,sife",5
ler,ctn,"ler,ltr,ctr,ctn",4
drinks,lakism,"drinks,brinks,brisks,brises,crises,cruses,causes,carses,marses,maries,mariet,marist,marish,rarish,rakish,lakish,lakism",17
cuvage,tawyer,"cuvage,curage,curate,curite,curiae,curial,corial,cordal,cordel,corder,colder,solder,sowder,sawder,sawyer,tawyer",16
repry,mange,"repry,redry,cedry,cedre,cadre,madre,madge,mange",8
boche,grunt,"boche,bocce,boyce,bryce,bruce,brune,brunt,grunt",8
shai,goma,"shai,shri,sori,sora,gora,goma",6
wok,ckw,"wok,wow,cow,ckw",4
tics,abey,"tics,pics,pias,aias,abas,abay,abey",7
koda,flub,"koda,coda,code,coue,clue,flue,flub",7
belay,chine,"belay,belly,bells,cells,ceils,ceile,chile,chine",8
cornet,nulled,"cornet,carnet,carlet,callet,cullet,culled,nulled",7
swive,snies,"swive,shive,shivs,shies,snies",5
cires,unlid,"cires,sires,siree,spree,spret,splet,split,uplit,unlit,unlid",10
rears,galas,"rears,hears,heals,hells,halls,galls,galas",7
liz,fay,"liz,laz,lay,fay",4
side,hale,"side,hide,hade,hale",4
nogg,ulta,"nogg,nong,kong,kona,krna,urna,ulna,ulta",8
allay,ungot,"allay,alley,agley,aglet,anlet,unlet,unget,ungot",8
riddle,demiss,"riddle,diddle,dindle,dingle,dingee,dinged,dinned,denned,denied,denies,demies,demiss",12
wup,fae,"wup,wap,wae,fae",4
dush,flew,"dush,dust,fust,fest,feet,flet,flew",7
unco,misc,"unco,undo,unde,ande,aide,mide,mise,misc",8
bedim,sieve,"bedim,benim,benin,lenin,linin,linie,linge,singe,siege,sieve",10
bevy,smee,"bevy,bely,beld,seld,seed,shed,shee,smee",8
oriel,pawky,"oriel,ariel,aries,fries,frits,faits,farts,parts,parks,parky,pawky",11
ache,goar,"ache,acce,alce,alae,alar,glar,goar",7
yds,cgs,"yds,yis,cis,cgs",4
laury,eyess,"laury,loury,lours,hours,hoers,doers,dyers,eyers,eyess",9
qaf,hvy,"qaf,haf,hay,hvy",4
thuds,scroo,"thuds,thugs,chugs,chums,chams,chais,chris,shris,saris,saros,sarod,scrod,scroo",13
poral,booed,"poral,boral,borel,bored,booed",5
alp,liz,"alp,alb,llb,lib,liz",5
uran,scfh,"uran,bran,bean,sean,scan,scam,scfm,scfh",8
tepid,mazut,"tepid,lepid,lipid,livid,lived,laved,lazed,mazed,mazer,mazur,mazut",11
cains,alfin,"cains,sains,spins,spans,spann,spain,slain,alain,alfin",9
salon,kedgy,"salon,solon,solen,soles,sones,songs,songy,soggy,seggy,sedgy,kedgy",11
chimla,felled,"chimla,chilla,chills,chiles,whiles,whiled,wailed,walled,welled,felled",10
tackled,campine,"tackled,hackled,hackles,hackies,hawkies,hawkins,hawking,harking,carking,carping,camping,campine",12
mane,pail,"mane,pane,pale,pall,pail",5
noils,spore,"noils,soils,sails,sains,spins,spine,spire,spore",8
waged,cauda,"waged,caged,caned,canel,canal,cabal,cabaa,cabda,cauda",9
cos,ros,"cos,ros",2
dive,abos,"dive,dime,dims,aims,aias,abas,abos",7
barid,token,"barid,borid,bored,tored,toked,token",6
noon,take,"noon,toon,tonn,tone,tane,take",6
sated,eoith,"sated,bated,bates,batts,botts,botte,boite,blite,elite,exite,exits,edits,edith,eoith",14
great,rasps,"great,treat,treas,trees,tyees,tykes,rykes,rakes,rases,rasps",10
holes,tored,"holes,toles,tores,tored",4
